1361559597.487908 880 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.502233 890 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.502910 891 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.507007 895 202 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.507587 897 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.507703 898 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.507896 899 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.508108 900 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.508292 901 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.509414 904 212 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.509610 905 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.509831 906 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.510025 907 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.510211 908 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.510548 910 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.510748 911 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.510972 912 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.511141 913 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.511466 914 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.511683 915 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.511879 916 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.512069 917 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.512955 921 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.513324 922 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.516124 923 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.520145 925 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.524428 928 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.528267 931 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.529029 935 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.529234 936 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.529438 937 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.529640 938 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.529846 939 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.529964 940 222 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.530943 944 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.532291 946 325 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.534645 949 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.535129 950 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.535548 951 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.537013 952 314 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.541270 959 336 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.541493 961 222 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.542006 962 222 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.543669 965 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
1361559597.544039 966 232 80:1f:02:70:8d:0b f8:d1:11:5b:42:5a
